Price,Promotional_Price,Url
"939,-","899,-",https://www.coolblue.nl/en/product/813107/hp-pavilion-g15-cx0953nd.html
,"1.599,-",https://www.coolblue.nl/en/product/824489/asus-zenbook-pro-ux480fd-be023t.html
,"1.899,-",https://www.coolblue.nl/en/product/824488/asus-zenbook-pro-ux580ge-bn010t.html
"2.099,-","1.999,-",https://www.coolblue.nl/en/product/817426/lenovo-thinkpad-x1-yoga-i7-16gb-512gb-ssd.html
,"449,-",https://www.coolblue.nl/en/product/813187/hp-17-ca0930nd.html
,"1.369,-",https://www.coolblue.nl/en/product/823389/lenovo-yoga-730-13iwl-81jr005pmh.html
"1.369,-","1.269,-",https://www.coolblue.nl/en/product/812624/acer-predator-helios-ph315-51-70km.html
,"1.899,-",https://www.coolblue.nl/en/product/823197/huawei-matebook-x-pro.html
,"999,-",https://www.coolblue.nl/en/product/825157/asus-zenbook-ux433fa-a5046t.html
,"1.199,-",https://www.coolblue.nl/en/product/825161/asus-zenbook-ux533fn-a8025t.html
,"1.939,-",https://www.coolblue.nl/en/product/811011/msi-ge73-raider-rgb-8rf-088nl.html
,"449,-",https://www.coolblue.nl/en/product/813312/asus-vivobook-r540na-dm224t.html
,"659,-",https://www.coolblue.nl/en/product/818949/acer-aspire-5-a517-51-37pb.html
"1.999,-","1.699,-",https://www.coolblue.nl/en/product/823912/msi-ge75-8re-003nl.html
,"1.649,-",https://www.coolblue.nl/en/product/824270/microsoft-surface-pro-6-i7-8gb-256gb-black.html
,"859,-",https://www.coolblue.nl/en/product/815831/dell-vostro-5471-pj1pn.html
,"499,-",https://www.coolblue.nl/en/product/812809/acer-spin-3-sp314-51-p628.html
,"1.299,-",https://www.coolblue.nl/en/product/809502/toshiba-tecra-a50-e-i7-16gb-512ssd.html
,"1.129,-",https://www.coolblue.nl/en/product/817409/lenovo-thinkpad-e580-i7-8gb-256gb-ssd-1tb-hdd.html
,"2.569,-",https://www.coolblue.nl/en/product/806902/microsoft-surface-book-2-15-inches-i7-16gb-256gb.html
"569,-","524,-",https://www.coolblue.nl/en/product/793946/acer-chromebook-15-cb515-1ht-p9m1.html
,"299,-",https://www.coolblue.nl/en/product/817285/lenovo-chromebook-s330-81jw0008mh.html
"1.199,-","1.149,-",https://www.coolblue.nl/en/product/813068/hp-pavilion-g15-cx0963nd.html
,"2.099,-",https://www.coolblue.nl/en/product/799192/apple-macbook-pro-13-2017-16-512gb-2-3ghz-space-gray.html
"369,-","339,-",https://www.coolblue.nl/en/product/813753/acer-chromebook-spin-11-cp311-1h-c973.html
,"1.849,-",https://www.coolblue.nl/en/product/822475/hp-spectre-x360-15-df0100nd.html
,"1.499,-",https://www.coolblue.nl/en/product/825163/asus-zenbook-ux533fn-a8016t.html
,"2.599,-",https://www.coolblue.nl/en/product/824918/asus-rog-strix-gl704gw-ev005t.html
"379,-","349,-",https://www.coolblue.nl/en/product/820005/lenovo-ideapad-s130-14igm-81j2008umh.html
,"529,-",https://www.coolblue.nl/en/product/827063/acer-swift-3-sf314-54-31mz.html
,"3.519,-",https://www.coolblue.nl/en/product/816440/apple-macbook-pro-15-inch-touch-bar-2018-16gb-1tb-2-2ghz-space-gray.html
"899,-","859,-",https://www.coolblue.nl/en/product/812702/acer-spin-5-sp513-52n-81pe.html
,"1.299,-",https://www.coolblue.nl/en/product/822472/hp-spectre-x360-13-ap0100nd.html
,"939,-",https://www.coolblue.nl/en/product/820903/acer-swift-3-sf314-55-72gl.html
,"549,-",https://www.coolblue.nl/en/product/824477/acer-aspire-5-a517-51-30yu.html
,"999,-",https://www.coolblue.nl/en/product/825158/asus-zenbook-ux433fa-a5047t.html
"1.749,-","1.649,-",https://www.coolblue.nl/en/product/817427/lenovo-thinkpad-p52s-i7-16gb-512gb-ssd.html
"1.099,-","999,-",https://www.coolblue.nl/en/product/817040/msi-gf63-8rc-057nl.html
"1.349,-","1.249,-",https://www.coolblue.nl/en/product/813349/asus-zenbook-s-ux391ua-eg007t.html
,"1.699,-",https://www.coolblue.nl/en/product/810029/hp-elitebook-840-g5-i7-8gb-256ssd.html
,"799,-",https://www.coolblue.nl/en/product/815510/dell-latitude-3590-mk7t2.html
